id,symbol,name,image,current_price,market_cap,market_cap_rank,fully_diluted_valuation,total_volume,high_24h,low_24h,price_change_24h,price_change_percentage_24h,market_cap_change_24h,market_cap_change_percentage_24h,circulating_supply,total_supply,max_supply,ath,ath_change_percentage,ath_date,atl,atl_change_percentage,atl_date,roi,last_updated,price_change_percentage_1h_in_currency,price_change_percentage_24h_in_currency,roi.times,roi.currency,roi.percentage
monero,xmr,Monero,https://assets.coingecko.com/coins/images/69/large/monero_logo.png?1547033729,208.64,3760770751,50,,219586463.0,213.56,196.6,11.77,5.9783,209161699.0,5.88921,18051384.2448622,,,542.33,-61.58803,2018-01-09T00:00:00.000Z,0.216177,96264.66345,2015-01-14T00:00:00.000Z,,2021-12-24T08:35:20.614Z,0.6610435335515096,5.9783038979735466,,,
iota,miota,IOTA,https://assets.coingecko.com/coins/images/692/large/IOTA_Swirl.png?1604238557,1.3,3598014747,51,,77340707.0,1.32,1.24,0.04178544,3.32996,121915481.0,3.50725,2779530283.277761,2779530283.0,,5.25,-75.39151,2017-12-19T00:00:00.000Z,0.081637,1482.17409,2020-03-13T02:22:41.168Z,,2021-12-24T08:36:19.368Z,1.1309225854177336,3.3299627285227262,17.869758549085017,btc,1786.9758549085016
aave,aave,Aave,https://assets.coingecko.com/coins/images/12645/large/AAVE.png?1601374110,254.07,3420972424,52,4071317179.0,761487384.0,256.56,219.95,34.13,15.51539,477585042.0,16.22569,13444189.28281184,16000000.0,16000000.0,661.69,-61.62928,2021-05-18T21:19:59.514Z,26.02,875.65144,2020-11-05T09:20:11.928Z,,2021-12-24T08:35:32.298Z,0.2470768045950072,15.515389028208853,,,
eos,eos,EOS,https://assets.coingecko.com/coins/images/738/large/eos-eos-logo.png?1547034481,3.5,3413324280,53,,674731824.0,3.54,3.35,0.136457,4.06211,135054355.0,4.11968,978414057.2043,,,22.71,-84.64429,2018-04-29T07:50:33.540Z,0.5024,594.16365,2017-10-23T00:00:00.000Z,,2021-12-24T08:35:50.378Z,0.5786420189878161,4.062112521558939,2.531038811678172,usd,253.10388116781718
leo-token,leo,LEO Token,https://assets.coingecko.com/coins/images/8418/large/leo-token.png?1558326215,3.62,3408696537,54,,706619.0,3.73,3.56,0.05372,1.50435,57857317.0,1.72665,939124083.9,985239504.0,,3.95,-8.04059,2021-05-14T13:54:31.192Z,0.799859,353.56931,2019-12-24T15:14:35.376Z,,2021-12-24T08:37:15.903Z,-0.1195938563742835,1.5043460206314536,,,
klay-token,klay,Klaytn,https://assets.coingecko.com/coins/images/9672/large/CjbT82vP_400x400.jpg?1570548320,1.34,3398630740,55,,23502636.0,1.35,1.29,0.04086193,3.14748,94913945.0,2.87294,2556002522.8,,,4.34,-69.43295,2021-03-30T03:44:28.828Z,0.06044,2094.38558,2020-04-29T08:19:34.574Z,,2021-12-24T08:35:46.266Z,0.6533519427099171,3.14748076250186,,,
compound-usd-coin,cusdc,cUSDC,https://assets.coingecko.com/coins/images/9442/large/Compound_USDC.png?1567581577,0.02253179,3367129818,56,,94414556.0,0.02265547,0.0216059,3.786e-05,0.16832,-91510119.35548687,-2.64584,149354237806.399,149354237806.399,,0.058843,-61.74267,2020-10-21T11:24:27.820Z,0.00620705,262.68282,2021-03-04T08:11:37.438Z,,2021-12-24T08:37:10.505Z,0.35811658798560403,0.16832102480902567,,,
arweave,ar,Arweave,https://assets.coingecko.com/coins/images/4343/large/oRt6SiEN_400x400.jpg?1591059616,62.35,3132374288,57,4125780951.0,41607400.0,62.51,52.17,9.81,18.66238,505396258.0,19.23869,50108502.0,64598643.0,66000000.0,89.24,-30.235,2021-11-05T04:14:42.689Z,0.298788,20735.82681,2020-01-31T06:47:36.543Z,,2021-12-24T08:35:34.902Z,5.342319136308235,18.662380166967736,83.25205904662391,usd,8325.205904662393
pancakeswap-token,cake,PancakeSwap,https://assets.coingecko.com/coins/images/12632/large/pancakeswap-cake-logo_%281%29.png?1629359065,12.41,3126691111,58,,126216079.0,12.52,11.62,0.775785,6.67012,200851265.0,6.86474,252055775.643687,,,43.96,-71.82083,2021-04-30T10:08:22.934Z,0.194441,6271.54174,2020-11-03T14:29:34.165Z,,2021-12-24T08:35:53.947Z,0.5183448986125322,6.6701165039719275,,,
flow,flow,Flow,https://assets.coingecko.com/coins/images/13446/large/5f6294c0c7a8cda55cb1c936_Flow_Wordmark.png?1631696776,9.47,2996202487,59,,124071428.0,9.51,8.86,0.606069,6.84065,196046661.0,7.00128,316835587.0,1393082413.50733,,42.4,-77.73929,2021-04-05T13:49:10.098Z,4.95,90.66483,2021-01-27T15:34:04.000Z,,2021-12-24T08:35:13.413Z,0.9338115151650906,6.840654635301954,,,
harmony,one,Harmony,https://assets.coingecko.com/coins/images/4344/large/Y88JAze.png?1565065793,0.256542,2943966518,60,3374361030.0,141972080.0,0.260773,0.240009,0.01629357,6.78196,187121837.0,6.78754,11478011740.1007,13156044839.793139,13156044839.793139,0.37902,-32.64704,2021-10-26T09:28:49.782Z,0.00127355,19944.8357,2020-03-13T02:24:14.005Z,,2021-12-24T08:35:05.517Z,0.7714869677870838,6.7819603905445085,79.80069558263294,usd,7980.069558263294
loopring,lrc,Loopring,https://assets.coingecko.com/coins/images/913/large/LRC.png?1572852344,2.35,2912302657,61,3212702953.0,326727475.0,2.37,2.18,0.161261,7.37975,195627221.0,7.20098,1245991468.94246,1373873440.44246,1374513896.0,3.75,-37.78269,2021-11-10T14:59:53.164Z,0.01963893,11779.72271,2019-12-18T13:14:41.553Z,,2021-12-24T08:36:53.339Z,1.208396134371768,7.379752655403332,38.1074389478898,usd,3810.74389478898
olympus,ohm,Olympus,https://assets.coingecko.com/coins/images/14483/large/token_OHM_%281%29.png?1628311611,437.75,2873805176,62,3215922731.0,78416578.0,438.64,413.2,1.14,0.26,64037957.0,2.27912,6564971.591376858,7346511.0105582,7346511.0105582,1415.26,-69.15186,2021-04-25T00:00:00.000Z,162.79,168.18783,2021-05-23T22:25:07.703Z,,2021-12-24T08:29:59.498Z,-0.096424946408605,0.26000442479320435,,,
enjincoin,enj,Enjin Coin,https://assets.coingecko.com/coins/images/1102/large/enjin-coin-logo.png?1547035078,2.96,2768022456,63,2962540940.0,316092291.0,2.98,2.61,0.345087,13.18726,334607610.0,13.75054,934340659.567558,1000000000.0,1000000000.0,4.82,-38.71232,2021-11-25T09:53:41.955Z,0.01865964,15729.12156,2017-11-12T00:00:00.000Z,,2021-12-24T08:35:06.790Z,1.235314125958098,13.187260067173565,,,
radix,xrd,Radix,https://assets.coingecko.com/coins/images/4374/large/Radix.png?1629701658,0.28264,2752558903,64,6793685492.0,693452.0,0.284918,0.254425,0.02446799,9.47739,242350102.0,9.65458,9723943469.764,12123943470.365,24000000000.0,0.651264,-56.45079,2021-11-14T16:09:27.130Z,0.086235,228.8912,2021-09-13T04:50:07.104Z,,2021-12-24T08:35:55.172Z,0.21731361916098377,9.477388257753091,,,
quant-network,qnt,Quant,https://assets.coingecko.com/coins/images/3370/large/5ZOu7brX_400x400.jpg?1612437252,204.27,2748811038,65,2994417876.0,53345318.0,206.65,182.43,20.59,11.21174,289850522.0,11.78752,13413953.469289193,14612493.0,14612493.0,427.42,-52.30631,2021-09-11T09:15:00.668Z,0.215773,94375.76947,2018-08-23T00:00:00.000Z,,2021-12-24T08:35:16.678Z,0.6409775739591694,11.211744457798943,20.310314997125666,eth,2031.0314997125665
bittorrent-2,btt,BitTorrent,https://assets.coingecko.com/coins/images/7595/large/BTT_Token_Graphic.png?1555066995,0.00289796,2706738198,66,,448580468.0,0.00290268,0.00270595,0.0001823,6.7128,177921572.0,7.03576,932497500000.0,990000000000.0,,0.01356626,-78.64841,2021-04-05T04:09:06.433Z,0.00013814,1996.8245,2020-03-13T02:22:57.629Z,,2021-12-24T08:36:37.784Z,0.41253412470520406,6.712798343861278,23.149675506117116,usd,2314.967550611712
kusama,ksm,Kusama,https://assets.coingecko.com/coins/images/9568/large/m4zRhP5e_400x400.jpg?1576190080,292.02,2621882449,67,2919659037.0,79268481.0,292.83,269.18,20.74,7.64398,189107076.0,7.77331,8980098.074112339,10000000.0,10000000.0,621.71,-53.18611,2021-05-18T05:04:41.858Z,0.876572,33102.55135,2020-01-14T19:20:20.768Z,,2021-12-24T08:35:41.091Z,1.7413503769263994,7.643980723915443,,,
blockstack,stx,Stacks,https://assets.coingecko.com/coins/images/2069/large/Stacks_logo_full.png?1604112510,2.41,2535289525,68,,97332885.0,2.44,2.25,0.154594,6.86423,169256912.0,7.15362,1052561461.68777,1818000000.0,,3.39,-29.47452,2021-12-01T01:32:34.725Z,0.04559639,5142.86435,2020-03-13T02:29:26.415Z,,2021-12-24T08:35:56.620Z,0.7898882102408734,6.8642263096357805,19.056412556023307,usd,1905.6412556023308
bitcoin-cash-sv,bsv,Bitcoin SV,https://assets.coingecko.com/coins/images/6799/large/BSV.png?1558947902,128.78,2443904166,69,,858127522.0,131.06,123.3,5.13,4.14957,102322086.0,4.36978,18932276.644239,21000000.0,,489.75,-73.74827,2021-04-16T17:09:04.630Z,42.02,205.98843,2018-11-23T00:00:00.000Z,,2021-12-24T08:37:23.867Z,0.4449551267193011,4.149571706888889,,,
amp-token,amp,Amp,https://assets.coingecko.com/coins/images/12409/large/amp-200x200.png?1599625397,0.050675,2432736448,70,5027471800.0,22330770.0,0.051044,0.04870449,0.00139503,2.8308,73228472.0,3.10355,48013928909.1577,99441574895.8501,99225164238.50153,0.120813,-58.07743,2021-06-16T16:03:41.147Z,0.00250501,1921.85638,2020-11-04T13:18:12.191Z,,2021-12-24T08:34:57.001Z,0.5611781428452972,2.8308040019695553,,,
thorchain,rune,THORChain,https://assets.coingecko.com/coins/images/6595/large/RUNE.png?1614160507,7.99,2373970871,71,3989306591.0,71840161.0,7.99,7.08,0.888335,12.50805,265782758.0,12.60717,297541792.91730165,500000000.0,500000000.0,20.87,-61.96274,2021-05-19T00:30:09.436Z,0.00851264,93143.14465,2019-09-28T00:00:00.000Z,,2021-12-24T08:35:20.967Z,0.8571650863799818,12.508053412394501,209.27470682970335,usd,20927.470682970335
maker,mkr,Maker,https://assets.coingecko.com/coins/images/1364/large/Mark_Maker.png?1585191826,2627.09,2363175885,72,2636554370.0,83206822.0,2678.22,2435.54,191.55,7.86461,170587122.0,7.78017,901310.9472893132,987138.756439772,1005577.0,6292.31,-58.39461,2021-05-03T21:54:29.333Z,168.36,1454.98924,2020-03-16T20:52:36.527Z,,2021-12-24T08:36:05.498Z,1.084068209654068,7.864610343093821,,,
ecash,xec,eCash,https://assets.coingecko.com/coins/images/16646/large/Logo_final-22.png?1628239446,0.00011835,2241757143,73,2486600445.0,33068919.0,0.00011841,0.00011049,7.58e-06,6.84501,138215020.0,6.57058,18932233396789.4,21000000000000.0,21000000000000.0,0.00038001,-68.98279,2021-09-04T17:09:31.137Z,1.847e-05,538.17039,2021-07-20T20:49:46.212Z,,2021-12-24T08:37:25.749Z,0.2361086476767504,6.845013309979519,,,
neo,neo,NEO,https://assets.coingecko.com/coins/images/480/large/NEO_512_512.png?1594357361,29.46,2072993723,74,,195314318.0,29.99,27.54,1.92,6.98174,135491319.0,6.99309,70530000.0,100000000.0,,198.38,-85.19399,2018-01-15T00:00:00.000Z,0.078349,37388.94998,2016-10-21T00:00:00.000Z,,2021-12-24T08:36:13.961Z,0.7613706242541942,6.981742246724637,817.4011080770339,usd,81740.11080770339
curve-dao-token,crv,Curve DAO Token,https://assets.coingecko.com/coins/images/12124/large/Curve.png?1597369484,5.22,2047747977,75,17256369044.0,564531712.0,5.38,5.0,0.112571,2.20406,41909141.0,2.08936,391958099.3931446,1656434470.2398,3303030299.0,54.01,-90.38371,2020-08-14T04:53:44.010Z,0.331577,1466.26899,2020-11-05T13:09:50.181Z,,2021-12-24T08:37:04.524Z,1.1611454277927928,2.204063703288047,,,
huobi-btc,hbtc,Huobi BTC,https://assets.coingecko.com/coins/images/12407/large/Unknown-5.png?1599624896,51242.0,2043750777,76,2043750777.0,1585162.0,52606.0,48358.0,2864.35,5.92079,116386261.0,6.03862,39884.082204742,39884.082204742,39884.082204742,69325.0,-26.18322,2021-05-10T02:33:06.038Z,11209.02,356.5388,2020-10-12T03:56:16.768Z,,2021-12-24T08:30:33.666Z,0.4107218754248642,5.920789310543652,,,
basic-attention-token,bat,Basic Attention Token,https://assets.coingecko.com/coins/images/677/large/basic-attention-token.png?1547034427,1.36,2036699128,77,2045064028.0,331542573.0,1.38,1.23,0.134795,10.96317,202654474.0,11.04959,1493864568.4473505,1500000000.0,1500000000.0,1.9,-28.45698,2021-11-28T00:23:51.354Z,0.072394,1778.22045,2017-07-16T00:00:00.000Z,,2021-12-24T08:34:49.273Z,0.7130162140372768,10.963171489877864,1.118708149718967,eth,111.8708149718967
zcash,zec,Zcash,https://assets.coingecko.com/coins/images/486/large/circle-zcash-color.png?1547034197,169.1,2015520188,78,3546498812.0,326937347.0,169.97,158.06,9.17,5.73659,106735790.0,5.59182,11934565.9475468,21000000.0,21000000.0,3191.93,-94.72225,2016-10-29T00:00:00.000Z,19.75,752.81482,2020-03-13T02:20:55.002Z,,2021-12-24T08:36:23.142Z,0.8967241430455174,5.7365919804711645,,,
spell-token,spell,Spell Token,https://assets.coingecko.com/coins/images/15861/large/abracadabra-3.png?1622544862,0.02505951,1970289307,79,5262036808.0,255738044.0,0.02629493,0.02247782,0.00114802,4.80113,105200136.0,5.64049,78631292347.2113,103214939480.85785,210000000000.0,0.03506357,-27.62399,2021-11-02T08:44:42.429Z,0.00029812,8412.42514,2021-08-05T13:00:27.077Z,,2021-12-24T08:37:42.461Z,-1.7440905080475373,4.801134051150443,,,
theta-fuel,tfuel,Theta Fuel,https://assets.coingecko.com/coins/images/8029/large/1_0YusgngOrriVg4ZYx4wOFQ.png?1553483622,0.223285,1886178774,80,,37573294.0,0.228197,0.207458,0.01443596,6.91214,49552231.0,2.698,0.0,5301200000.0,,0.68159,-67.29592,2021-06-09T06:50:55.818Z,0.00090804,24448.25412,2020-03-13T02:30:37.972Z,,2021-12-24T08:35:30.663Z,0.4435660591038152,6.912135526283709,,,
kadena,kda,Kadena,https://assets.coingecko.com/coins/images/3693/large/djLWD6mR_400x400.jpg?1591080616,11.48,1864939733,81,11510191309.0,45128083.0,12.12,10.71,0.630457,5.8092,112082741.0,6.39429,162025085.71096,1000000000.0,1000000000.0,27.64,-58.45633,2021-11-11T13:22:45.731Z,0.065811,17345.12826,2020-03-13T02:00:28.582Z,,2021-12-24T08:37:08.283Z,0.2633707076410231,5.809196280757674,10.48318936243285,usd,1048.318936243285
convex-finance,cvx,Convex Finance,https://assets.coingecko.com/coins/images/15585/large/convex.png?1621256328,42.25,1824530446,82,4227529526.0,133825365.0,49.4,38.22,3.95,10.31351,176246486.0,10.69273,43158313.50205509,79298984.6893987,100000000.0,49.4,-14.68797,2021-12-23T21:29:10.083Z,1.9,2114.72585,2021-07-20T13:17:29.183Z,,2021-12-24T08:36:14.013Z,0.17130823317371907,10.313511247399843,,,
kucoin-shares,kcs,KuCoin Token,https://assets.coingecko.com/coins/images/1047/large/sa9z79.png?1610678720,23.22,1779206625,83,,23575338.0,23.61,21.48,1.64,7.61159,125308290.0,7.57654,76729977.0,166729977.0,,28.83,-19.69905,2021-12-01T15:09:35.541Z,0.342863,6652.16329,2019-02-07T00:00:00.000Z,,2021-12-24T08:35:36.681Z,0.9506378962263473,7.611589676168326,,,
celo,celo,Celo,https://assets.coingecko.com/coins/images/11090/large/icon-celo-CELO-color-500.png?1592293590,4.82,1770304089,84,4821030551.0,60616626.0,4.96,4.71,0.080075,1.69043,24725148.0,1.41644,367204495.0,1000000000.0,1000000000.0,9.82,-51.04892,2021-08-30T14:25:09.929Z,0.800156,500.83729,2020-05-22T04:15:27.736Z,,2021-12-24T08:35:56.080Z,0.7103831698671953,1.6904331960939902,,,
celsius-degree-token,cel,Celsius Network,https://assets.coingecko.com/coins/images/3263/large/CEL_logo.png?1609598753,4.0,1691655166,85,,1766365.0,4.05,3.95,-0.002728874877,-0.06823,-83613.32583093643,-0.00494,423415980.3475,694963645.6871,,8.05,-50.44196,2021-06-04T00:04:12.584Z,0.02620268,15119.57385,2018-12-07T00:00:00.000Z,,2021-12-24T08:35:00.849Z,0.2456029707478988,-0.06823432960306892,12.32180279251947,usd,1232.180279251947
chiliz,chz,Chiliz,https://assets.coingecko.com/coins/images/8834/large/Chiliz.png?1561970540,0.313665,1677187765,86,2789699762.0,168059169.0,0.316385,0.286346,0.02451153,8.47701,137053820.0,8.89882,5344064580.0,8888888888.0,8888888888.0,0.878633,-64.38255,2021-03-13T08:04:21.200Z,0.00410887,7516.3629,2019-09-28T00:00:00.000Z,,2021-12-24T08:37:56.198Z,0.7669033047246002,8.477008467064907,13.257480207316563,usd,1325.7480207316564
ecomi,omi,ECOMI,https://assets.coingecko.com/coins/images/4428/large/ECOMI.png?1557928886,0.00692327,1663916252,87,,10801467.0,0.00706462,0.00613775,0.00070737,11.37997,171526308.0,11.4934,240092131274.56,750000000000.0,,0.01343572,-48.56738,2021-03-19T17:20:53.999Z,3.37e-06,204896.75232,2019-11-04T10:52:42.729Z,,2021-12-24T08:37:13.315Z,1.0197301139340458,11.379965150509951,12.50224322236044,btc,1250.224322236044
waves,waves,Waves,https://assets.coingecko.com/coins/images/425/large/waves.png?1548386117,16.57,1655885180,88,,123580052.0,16.82,15.93,0.598697,3.74844,64293060.0,4.03954,100000000.0,100000000.0,,43.01,-61.54781,2021-05-04T06:49:41.528Z,0.130878,12537.53564,2016-08-02T00:00:00.000Z,,2021-12-24T08:36:26.376Z,0.715360779212552,3.7484389123667765,87.14149607543867,usd,8714.149607543866
frax,frax,Frax,https://assets.coingecko.com/coins/images/13422/large/frax_logo.png?1608476506,1.01,1642062640,89,1642062640.0,22242182.0,1.04,0.99786,0.00709651,0.70577,78061218.0,4.99112,1620574681.90788,1620574681.90788,1620574681.90788,1.14,-11.35379,2021-02-07T12:55:35.766Z,0.891635,13.38345,2021-12-04T05:33:57.315Z,,2021-12-24T08:37:25.799Z,0.4641388055048586,0.7057682637054163,,,
holotoken,hot,Holo,https://assets.coingecko.com/coins/images/3348/large/Holologo_Profile.png?1547037966,0.00914518,1625867248,90,,162848225.0,0.00915996,0.00815193,0.00091991,11.18395,173770709.0,11.96688,177619433541.141,177619433541.141,,0.03126682,-70.74768,2021-04-05T16:04:52.608Z,0.0002202,4053.64041,2020-03-13T02:23:01.612Z,,2021-12-24T08:36:42.724Z,-0.16141499468631987,11.183952746123095,8.793538332364225,eth,879.3538332364225
dash,dash,Dash,https://assets.coingecko.com/coins/images/19/large/dash-logo.png?1548385930,154.72,1622053802,91,,354573584.0,155.41,132.89,21.26,15.92681,225597301.0,16.15498,10492710.2507834,18920000.0,,1493.59,-89.64551,2017-12-20T00:00:00.000Z,0.213899,72202.23403,2014-02-14T00:00:00.000Z,,2021-12-24T08:36:27.921Z,-0.12238878860948794,15.926814869449792,,,
huobi-token,ht,Huobi Token,https://assets.coingecko.com/coins/images/2822/large/huobi-token-logo.png?1547036992,10.02,1582252662,92,5015900781.0,114890035.0,10.06,9.94,-0.020542182745,-0.2046,-1350927.9913294315,-0.08531,157723680.25441208,500000000.0,500000000.0,39.66,-74.70106,2021-05-12T14:42:21.586Z,0.90862,1004.28509,2019-01-30T00:00:00.000Z,,2021-12-24T08:37:13.077Z,0.502269889953257,-0.20459594077238955,9.121034884598455,usd,912.1034884598455
osmosis,osmo,Osmosis,https://assets.coingecko.com/coins/images/16724/large/osmo.png?1632763885,5.79,1471281052,93,5799350745.0,52196569.0,5.8,5.25,0.493861,9.3221,131024817.0,9.7761,253697546.0,325000000.0,1000000000.0,7.61,-23.79017,2021-09-20T00:00:09.729Z,1.24,369.71334,2021-07-20T10:21:24.662Z,,2021-12-24T08:36:33.942Z,0.5946148371545624,9.322098195739866,,,
sushi,sushi,Sushi,https://assets.coingecko.com/coins/images/12271/large/512x512_Logo_no_chop.png?1606986688,7.58,1463410381,94,1897681453.0,739750188.0,7.59,6.49,1.03,15.73504,204046526.0,16.20235,192789255.8554817,238815736.666627,250000000.0,23.38,-67.72219,2021-03-13T23:44:36.774Z,0.475381,1487.23297,2020-11-04T14:53:53.560Z,,2021-12-24T08:36:12.906Z,1.0257953166581177,15.735039847756177,,,
compound-governance-token,comp,Compound,https://assets.coingecko.com/coins/images/10775/large/COMP.png?1592625425,232.82,1462558870,95,2326809475.0,195097289.0,238.63,208.4,24.39,11.6998,158572375.0,12.16058,6285683.834308099,10000000.0,10000000.0,910.54,-74.52065,2021-05-12T02:29:08.794Z,61.32,278.3318,2020-06-18T12:54:32.788Z,,2021-12-24T08:34:36.903Z,1.5250906506224415,11.699799203692871,,,
msol,msol,Marinade staked SOL,https://assets.coingecko.com/coins/images/17752/large/PJ7Scn3.png?1629175951,193.94,1393711447,96,1393711447.0,72178208.0,196.63,182.91,10.76,5.87179,81470652.0,6.20851,7182883.80236223,7182883.80236223,7182883.80236223,3541.84,-94.53292,2021-08-23T22:16:35.076Z,42.4,356.6954,2021-08-30T10:27:09.425Z,,2021-12-24T08:37:07.729Z,0.9079267297549,5.871787189642619,,,
nexo,nexo,NEXO,https://assets.coingecko.com/coins/images/3695/large/nexo.png?1548086057,2.41,1344800899,97,2401430134.0,13586408.0,2.44,2.2,0.193102,8.7205,104769825.0,8.44897,560000010.0064,1000000000.0,1000000000.0,4.07,-40.99296,2021-05-12T14:37:47.535Z,0.04515276,5216.15079,2018-09-13T00:00:00.000Z,,2021-12-24T08:35:02.106Z,0.8403458318161136,8.720495896902909,23.07442693341818,usd,2307.442693341818
iotex,iotx,IoTeX,https://assets.coingecko.com/coins/images/3334/large/iotex-logo.png?1547037941,0.138684,1302454159,98,1303200363.0,71478933.0,0.137233,0.120754,0.01787468,14.79582,157178707.0,13.7241,9490829322.48387,9496266827.32,9496266827.32,0.255593,-48.1599,2021-11-13T16:54:18.643Z,0.00121576,10798.50522,2020-03-13T02:29:47.597Z,,2021-12-24T08:35:33.032Z,9.98138802871869,14.795820124626907,,,
bitcoin-cash-abc-2,bcha,Bitcoin Cash ABC,https://assets.coingecko.com/coins/images/13120/large/Logo_final-21.png?1624892810,68.39,1285305503,99,,936.29,78.37,65.18,-9.087721976588,-11.72963,-170795177.52178764,-11.72963,18794058.3967894,21000000.0,,378.12,-81.98479,2021-09-04T17:15:31.514Z,9.21,639.63289,2020-11-15T18:28:32.658Z,,2021-12-24T08:32:24.251Z,0.4145286486268002,-11.729626930725509,,,
nem,xem,NEM,https://assets.coingecko.com/coins/images/242/large/NEM_Logo_256x256.png?1598687029,0.142012,1274512072,100,,117566665.0,0.142132,0.130293,0.01073021,8.17343,98430956.0,8.3694,8999999999.0,8999999999.0,,1.87,-92.39344,2018-01-07T00:00:00.000Z,8.482e-05,167475.02163,2015-09-05T00:00:00.000Z,,2021-12-24T08:35:40.372Z,1.0775695119426483,8.173434148444116,,,
